461.84,2370.7,2984.4,1461.8,3988.5,4272.4,252.82,-2247.9,-2456.2,-738.83,-1807.1,186.74,5254.3,2876.7,-5274.7,3195.7,-167.05,1385.3,1018.1,-8432.6,-2204.5,2625.6
461.9,2370.6,2984.5,1464.6,3987.8,4271.3,253.97,-2257.3,-2451.2,-733.68,-1799.4,187.04,5248.9,2874.6,-5266.9,3194.5,-167.52,1384.3,1017.4,-8417.4,-2203,2622
463.95,2369.6,2984.2,1467,3986.5,4269.1,255.07,-2257.6,-2445.8,-728.39,-1791.2,188.52,5244.6,2872.9,-5257.5,3192.9,-167.79,1385.1,1016.2,-8405,-2198.3,2619.1
466.05,2368.1,2980.3,1466.5,3982.5,4264.7,256.81,-2246.6,-2443.2,-725.41,-1784.5,191.49,5237.4,2869,-5247.9,3189.4,-166.53,1385.7,1015,-8393.4,-2192.6,2618
465.26,2363.3,2971.2,1461.6,3973.5,4255.4,255.79,-2238.3,-2444.5,-727.35,-1782.4,192.22,5225.6,2861.1,-5240.7,3182.5,-165.82,1382.7,1012.3,-8380.3,-2191,2614.7
461.57,2353.6,2959.7,1454,3960.3,4241,250.21,-2238.1,-2447,-733.12,-1783.8,189.21,5213.3,2851.3,-5236.1,3172.9,-167.25,1377.1,1007.2,-8368.2,-2193.7,2605.3
455.31,2342.5,2949.7,1446.5,3945.6,4225.6,244.44,-2241,-2446.8,-738.53,-1785,186.37,5202.9,2842.6,-5230.9,3163.2,-168.48,1372.3,1002.1,-8356.6,-2195.6,2594.4
448.65,2332.8,2941.1,1440.2,3931.6,4212,241.97,-2241.9,-2442.9,-741.09,-1783.9,186.48,5190.9,2835.6,-5222.8,3154.8,-167.38,1369.1,999.34,-8342.1,-2193.5,2587.1
444.87,2323.3,2931.2,1433.6,3918.1,4199.1,240.16,-2237.2,-2438.9,-742.95,-1782.7,186.65,5175.4,2828.2,-5212.8,3145.6,-165.79,1365.1,997.23,-8325.5,-2189.7,2581
443.14,2313.1,2920,1425.9,3904.5,4184.7,236.11,-2227.8,-2437.1,-746.52,-1782.7,183.79,5159.7,2819.4,-5203,3133.7,-165.61,1359.7,993.71,-8308.7,-2188.3,2572.2
440.11,2303.3,2908.7,1418.6,3891.1,4169.8,230.81,-2221,-2434.6,-749.65,-1781.6,179.82,5146.7,2811.3,-5192.3,3122,-166.03,1355.1,990.05,-8289.1,-2188.3,2561.1
435.3,2295.1,2897,1413,3878.3,4155.8,226.75,-2218.3,-2427.8,-748.93,-1777.1,177.88,5135.2,2805.5,-5178.4,3113.3,-166.03,1352.9,987.68,-8266,-2185.9,2549.3
431.53,2288.6,2885.4,1408.5,3866.4,4143.5,225.57,-2212,-2418.2,-744.76,-1769.7,177.9,5122.7,2800.4,-5161.1,3107,-165.44,1351.4,986,-8243.1,-2179.9,2539.4
430.41,2282.6,2876.3,1404.1,3855.1,4132.2,226.8,-2200.7,-2408.9,-740.17,-1760.8,179.08,5106.3,2793.3,-5143.1,3100.4,-163.81,1346.6,983.9,-8220.2,-2171.7,2533.2
429.27,2275.1,2869.1,1399.5,3842.7,4120.2,227.81,-2193.9,-2401.1,-737.64,-1752.3,181.28,5085.5,2783.2,-5126.3,3091.1,-161.87,1337.9,980.63,-8193.9,-2163.4,2528
426.75,2267.1,2860.6,1395.1,3828.8,4106.2,227.19,-2198.2,-2393.5,-737.23,-1746,182.92,5063.9,2771.9,-5110.4,3079.8,-161.9,1329.5,976.19,-8165,-2156.1,2519.7
427.6,2260.8,2852.6,1392.6,3815.6,4092.2,226.67,-2200.7,-2383.2,-735.83,-1740.4,183.15,5045.9,2762.6,-5092.8,3069,-163.27,1325.1,972.7,-8134.9,-2148.1,2509.5
434.09,2256.8,2848.6,1393.3,3804.7,4080.4,228.18,-2182.6,-2369.4,-730.32,-1732.3,183.6,5031.8,2756.7,-5071.3,3060.5,-162.54,1324.6,973,-8102.1,-2137.1,2502.3
440.9,2254.5,2845,1394,3795.6,4071.3,232.14,-2150.1,-2353.9,-721.12,-1720.9,185.55,5019.1,2752.8,-5046.2,3054,-159.26,1326.6,976.18,-8065.5,-2123.7,2499.1
